,song,low,high,super_high
97,BEST FRIEND,2mid1F,3hiB,
98,勝ちドキ,2mid1D,3hiC#,
99,星の降る夜に,1lowF#,3hiC#,3hiC#
100,僕らの物語,2mid1B,3hiC#,
101,僕らは物語,1lowG#,3hiD#,
102,またね。,2mid1G,3hiA,3hiD
103,未完成ing,2mid1A,3hiE,
104,ミセナイナミダハ、きっといつか,1lowF#,3hiA#,
105,キミマツ,2mid1C,3hiC,
106,PHANTOM〜約束〜,2mid1C#,3hiD#,
107,ミドリイロ,2mid1A#,3hiD#,3hiA#
108,道,2mid1F,2mid2G#,
109,雪の音,2mid1A,3hiC,
110,恋文〜ラブレター〜,2mid1A,3hiC#,
111,街,1lowG,2mid2G,
112,両親への手紙,2mid1A,3hiD,
113,子犬,2mid1D,3hiD,
114,暁の君に,2mid1D,3hiE,
115,ソビト,1lowG,3hiC,3hiA
116,カワリバンコハンブンコ,2mid1B,3hiC#,
117,STORY,2mid1D,2mid2G,
118,beautiful days,2mid1C,3hiC#,
119,一番星,1lowG,3hiC,
120,光,2mid1F#,3hiB,
121,遠くの空 指差すんだ,2mid1C#,3hiA#,
122,ユメノート,2mid1A,3hiC#,
123,口笛,2mid1C#,3hiB,
124,ありがとうなんて言わなくても全部分かってるんだ,2mid2B,3hiC#,
125,いつもいつでも,2mid2A,3hiD,
126,贈る言葉,2mid1D#,3hiC#,
127,SAKAMOTO,2mid1E,2mid2F#,
128,約束×No title,2mid2A,3hiB,3hiE
129,OH!!!! 迷惑!!!!,1lowG#,3hiE,
130,11,2mid1E,3hiB,
131,声,2mid1A,3hiA,
132,声 〜koe2018〜,1lowF#,3hiA,
133,KARAKARA,1lowG,3hiG,
134,さくら,2mid1D#,2mid2G,
135,友よ〜この先もずっと,2mid1G,2mid2G#,
136,バラード,2mid1A#,2mid2G,2mid2G
137,そばにいて,2mid1A,2mid2G,3hiA
138,出会いのかけら,2mid1E,2mid2G#,
139,夏の思い出,2mid1D#,2mid2F#,
140,トレイン,2mid1D,2mid2G#,
141,恋の終わりは意外と静かに,2mid1F#,2mid2G#,
142,仲間,2mid1A#,2mid2G,
143,いい感じ,2mid1G,2mid2G,
144,涙,2mid1D#,2mid2G#,
145,さらば涙,2mid1D,2mid2G,
146,カリフォルニー,2mid1C,2mid2D#,
147,トモダチ,2mid1D#,2mid2G#,
148,始まりの予感,2mid1F,2mid2F,
149,幸せをありがとう,2mid1C#,2mid2D#,
150,君と作る未来,2mid1C#,2mid2D#,
151,カンパイの唄,2mid1F,2mid2G,
152,こだま,2mid1C,2mid2G,
153,月と太陽,2mid1B,2mid2F,
154,また君に会える,2mid1D#,2mid2F#,
155,奏(かなで),2mid1D,2mid2G#,3hiA#
156,ガラナ,2mid1F,3hiA#,
157,アーセンの憂鬱,2mid1F,3hiA,3hiD
158,藍,2mid1D#,2mid2G#,2mid2G#
159,青春,2mid1D,3hiA,3hiD
160,雨待ち風,2mid1C#,3hiB,
161,アイスクリームシンドローム,2mid1E,3hiA,3hiC#
162,Ah Yeah!!,2mid1C,3hiA#,
163,石ころDays,2mid1D,3hiA,3hiB
164,糸ノ意図,2mid1E,2mid2G#,3hiB
165,君の話,2mid1A#,2mid2G#,
166,ゲノム,2mid1C#,2mid2G#,3hiC#
167,ゴールデンタイムラバー,2mid1D#,2mid2G#,
